#LIBRARY    ENDF/B-VIII.0
#REACTION   CL-35(N,EL)CL-35-L0,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 17093.4     5.59459      Lin-Lin
 17095.1     5.97771      Lin-Lin
 17096.2     6.26336      Lin-Lin
 17097.4     6.57681      Lin-Lin
 17098.5     6.92181      Lin-Lin
 17099.6     7.30265      Lin-Lin
 17100.8     7.72448      Lin-Lin
 17101.9     8.19327      Lin-Lin
 17103.1     8.73449      Lin-Lin
 17104.3     9.34289      Lin-Lin
 17105.4     10.03        Lin-Lin
 17106.2     10.5384      Lin-Lin
 17107       11.0927      Lin-Lin
 17107.8     11.6983      Lin-Lin
 17108.6     12.3449      Lin-Lin
 17109.3     13.035       Lin-Lin
 17110.1     13.7905      Lin-Lin
 17110.8     14.6194      Lin-Lin
 17111.5     15.5307      Lin-Lin
 17112.3     16.5342      Lin-Lin
 17113       17.6412      Lin-Lin
 17113.8     18.8642      Lin-Lin
 17114.5     20.0754      Lin-Lin
 17115.1     21.249       Lin-Lin
 17115.7     22.5221      Lin-Lin
 17116.3     23.9033      Lin-Lin
 17116.8     25.4012      Lin-Lin
 17117.4     27.0247      Lin-Lin
 17118       28.7825      Lin-Lin
 17118.6     30.6828      Lin-Lin
 17119.2     32.6009      Lin-Lin
 17120       35.5186      Lin-Lin
 17120.8     38.7178      Lin-Lin
 17121.6     42.2033      Lin-Lin
 17122.3     45.9727      Lin-Lin
 17123.1     50.0121      Lin-Lin
 17124       54.9286      Lin-Lin
 17125.4     62.7663      Lin-Lin
 17127.6     76.4384      Lin-Lin
 17128.6     81.7505      Lin-Lin
 17129.5     86.6223      Lin-Lin
 17130.2     89.8722      Lin-Lin
 17130.9     92.5241      Lin-Lin
 17131.5     94.6726      Lin-Lin
 17132.1     96.3695      Lin-Lin
 17132.8     97.5793      Lin-Lin
 17133.4     98.2754      Lin-Lin
 17133.9     98.4515      Lin-Lin
 17134.6     98.1496      Lin-Lin
 17135.3     97.1887      Lin-Lin
 17136       95.5963      Lin-Lin
 17136.7     93.417       Lin-Lin
 17137.4     90.7474      Lin-Lin
 17138.1     87.6311      Lin-Lin
 17139       82.9111      Lin-Lin
 17140       77.7192      Lin-Lin
