#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 67737.5     2.40326      Lin-Lin
 67740.3     2.50492      Lin-Lin
 67742.1     2.55678      Lin-Lin
 67744.1     2.595        Lin-Lin
 67746       2.61323      Lin-Lin
 67746.8     2.61478      Lin-Lin
 67748.6     2.60678      Lin-Lin
 67750.9     2.5782       Lin-Lin
 67755.4     2.50147      Lin-Lin
 67757.1     2.4878       Lin-Lin
 67757.7     2.48756      Lin-Lin
 67759.1     2.49966      Lin-Lin
 67760       2.51947      Lin-Lin
 67760.9     2.55062      Lin-Lin
 67761.9     2.59645      Lin-Lin
 67762.8     2.6602       Lin-Lin
 67763.8     2.74276      Lin-Lin
 67764.8     2.84616      Lin-Lin
 67765.7     2.96752      Lin-Lin
 67766.6     3.10608      Lin-Lin
 67767.5     3.26704      Lin-Lin
 67768.4     3.45143      Lin-Lin
 67769.4     3.67232      Lin-Lin
 67769.9     3.79957      Lin-Lin
 67770.9     4.07688      Lin-Lin
 67771.9     4.38424      Lin-Lin
 67772.9     4.72045      Lin-Lin
 67773.9     5.08363      Lin-Lin
 67774.9     5.47085      Lin-Lin
 67776.4     6.08845      Lin-Lin
 67780.4     7.82036      Lin-Lin
 67782       8.48269      Lin-Lin
 67783.2     8.92926      Lin-Lin
 67784.4     9.3235       Lin-Lin
 67785.2     9.55119      Lin-Lin
 67786.4     9.82877      Lin-Lin
 67787.4     10.0011      Lin-Lin
 67788.5     10.1195      Lin-Lin
 67789.5     10.1675      Lin-Lin
 67789.7     10.1688      Lin-Lin
 67790.8     10.1348      Lin-Lin
 67791.6     10.0506      Lin-Lin
 67792.6     9.90423      Lin-Lin
 67793.5     9.72394      Lin-Lin
 67794.5     9.48197      Lin-Lin
 67795.7     9.11502      Lin-Lin
 67796.9     8.68963      Lin-Lin
 67798.3     8.12828      Lin-Lin
 67800       7.37902      Lin-Lin
 67803.2     5.98881      Lin-Lin
 67804.7     5.3819       Lin-Lin
 67805.7     4.99985      Lin-Lin
 67806.7     4.6352       Lin-Lin
