#LIBRARY    ENDF/B-VIII.0
#REACTION   NA-23(N,EL)NA-23-L0,SIG
#NUCLEUS    Na-23
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 117348      3.72862      Lin-Lin
 117356      3.80173      Lin-Lin
 117363      3.88983      Lin-Lin
 117368      3.96895      Lin-Lin
 117372      4.0512       Lin-Lin
 117377      4.17438      Lin-Lin
 117380      4.27632      Lin-Lin
 117383      4.39747      Lin-Lin
 117386      4.54099      Lin-Lin
 117389      4.70965      Lin-Lin
 117392      4.90591      Lin-Lin
 117395      5.13103      Lin-Lin
 117398      5.38499      Lin-Lin
 117401      5.6653       Lin-Lin
 117406      6.1239       Lin-Lin
 117413      6.80417      Lin-Lin
 117416      7.12609      Lin-Lin
 117420      7.40394      Lin-Lin
 117422      7.5831       Lin-Lin
 117424      7.68636      Lin-Lin
 117427      7.75696      Lin-Lin
 117429      7.79271      Lin-Lin
 117430      7.79712      Lin-Lin
 117432      7.77121      Lin-Lin
 117435      7.70002      Lin-Lin
 117437      7.58629      Lin-Lin
 117439      7.43436      Lin-Lin
 117443      7.182        Lin-Lin
 117446      6.88705      Lin-Lin
 117457      5.77322      Lin-Lin
 117460      5.47867      Lin-Lin
 117463      5.20894      Lin-Lin
 117466      4.9678       Lin-Lin
 117469      4.75627      Lin-Lin
 117472      4.57373      Lin-Lin
 117475      4.41804      Lin-Lin
 117478      4.28656      Lin-Lin
 117482      4.17612      Lin-Lin
 117485      4.08368      Lin-Lin
 117489      3.98475      Lin-Lin
 117493      3.9061       Lin-Lin
 117499      3.81626      Lin-Lin
 117504      3.75896      Lin-Lin
 117514      3.68402      Lin-Lin
 117523      3.63325      Lin-Lin
 117534      3.59267      Lin-Lin
 117549      3.55435      Lin-Lin
 117573      3.5198       Lin-Lin
 117613      3.48935      Lin-Lin
 117702      3.46441      Lin-Lin
 117926      3.45021      Lin-Lin
 125791      3.40802      Lin-Lin
 133945      3.37508      Lin-Lin
 142398      3.3505       Lin-Lin
 142932      3.35749      Lin-Lin
 143014      3.37081      Lin-Lin
 143050      3.39273      Lin-Lin
 143066      3.42031      Lin-Lin
 143075      3.44992      Lin-Lin
 143082      3.48688      Lin-Lin
 143090      3.55313      Lin-Lin
 143097      3.63395      Lin-Lin
 143117      3.909        Lin-Lin
 143122      3.9621       Lin-Lin
 143127      3.98645      Lin-Lin
 143130      3.98706      Lin-Lin
 143134      3.96891      Lin-Lin
 143138      3.93401      Lin-Lin
 143143      3.86595      Lin-Lin
 143158      3.63753      Lin-Lin
 143165      3.54393      Lin-Lin
 143172      3.47502      Lin-Lin
 143178      3.43539      Lin-Lin
 143185      3.40401      Lin-Lin
 143194      3.38062      Lin-Lin
 143210      3.36127      Lin-Lin
 143257      3.34735      Lin-Lin
 144593      3.34113      Lin-Lin
 162926      3.29828      Lin-Lin
 167940      3.29161      Lin-Lin
 176448      3.30658      Lin-Lin
 180732      3.33003      Lin-Lin
 184560      3.37402      Lin-Lin
 186966      3.42502      Lin-Lin
 189098      3.49356      Lin-Lin
 189876      3.53129      Lin-Lin
 189950      3.54414      Lin-Lin
 189983      3.56437      Lin-Lin
 189999      3.59272      Lin-Lin
 190009      3.62854      Lin-Lin
 190018      3.67745      Lin-Lin
 190029      3.76291      Lin-Lin
 190046      3.90827      Lin-Lin
 190054      3.95597      Lin-Lin
 190060      3.96648      Lin-Lin
 190065      3.95855      Lin-Lin
 190073      3.91706      Lin-Lin
 190084      3.8247       Lin-Lin
 190095      3.7284       Lin-Lin
 190106      3.65485      Lin-Lin
 190116      3.61379      Lin-Lin
 190126      3.58774      Lin-Lin
 190146      3.56381      Lin-Lin
 190204      3.55         Lin-Lin
 190241      3.54886      Lin-Lin
 191035      3.58812      Lin-Lin
 192181      3.66916      Lin-Lin
 193167      3.7632       Lin-Lin
 193955      3.86239      Lin-Lin
 194842      3.99109      Lin-Lin
 195434      4.10541      Lin-Lin
 196124      4.27604      Lin-Lin
 196518      4.39729      Lin-Lin
 196912      4.54706      Lin-Lin
 197208      4.68133      Lin-Lin
 197503      4.84064      Lin-Lin
 197700      4.96151      Lin-Lin
 197996      5.17833      Lin-Lin
 198292      5.43232      Lin-Lin
 198588      5.72176      Lin-Lin
 198883      6.05509      Lin-Lin
 199080      6.3004       Lin-Lin
 199376      6.72286      Lin-Lin
 200115      7.85581      Lin-Lin
 200411      8.26565      Lin-Lin
 200608      8.49151      Lin-Lin
 200800      8.66112      Lin-Lin
 201002      8.78044      Lin-Lin
 201189      8.82704      Lin-Lin
 201345      8.81606      Lin-Lin
 201495      8.76716      Lin-Lin
 201594      8.69702      Lin-Lin
 201791      8.50271      Lin-Lin
 202086      8.13231      Lin-Lin
 202530      7.4875       Lin-Lin
 202825      7.05699      Lin-Lin
 203121      6.67328      Lin-Lin
 203417      6.32571      Lin-Lin
 203713      6.01404      Lin-Lin
 203910      5.82899      Lin-Lin
 204205      5.59147      Lin-Lin
 204501      5.38721      Lin-Lin
 204729      5.25199      Lin-Lin
 205015      5.11152      Lin-Lin
 205300      4.99802      Lin-Lin
 205729      4.86394      Lin-Lin
 206158      4.76606      Lin-Lin
 206443      4.71762      Lin-Lin
 207015      4.65512      Lin-Lin
 207547      4.62881      Lin-Lin
 208300      4.6103       Lin-Lin
 209015      4.62708      Lin-Lin
 209729      4.67059      Lin-Lin
 212157      4.85876      Lin-Lin
 213014      4.90282      Lin-Lin
